source,existing_text,treatment
404.html,Page Not Found | Olsen Automation LLC,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
404.html,Olsen Automation,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
404.html,© Brian Olsen / Olsen Automation LLC,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
ai-visibility.html,AI Visibility Monitoring & Improvement | Olsen Automation,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
ai-visibility.html,Olsen Automation,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
ai-visibility.html,The page securely sends Olsen Automation a structured JSON intake and downloads your backup. No passwords or secret keys are included.,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
ai-visibility.html,"Olsen Automation uses that file to create a dedicated local workflow, weekly checks, and evidence-backed reports.","preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
ai-visibility.html,"The safe pattern is: you keep ownership, and invite Olsen Automation as a manager or user. You can remove that access later.","preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
ai-visibility.html,"Review your entries. When you submit, the structured intake is sent to Olsen Automation's Workspace inbox and a backup downloads to your device.","preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
ai-visibility.html,Olsen Automation received the structured handoff for your dedicated ChatGPT Work session. A backup also downloaded to your device.,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
ai-visibility.html,"No. Never send passwords or codes. When access is needed, you retain ownership and invite an Olsen Automation account with the smallest practical role.","preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
ai-visibility.html,"Olsen Automation validates the intake, confirms any missing ownership steps, creates the local monitor, performs a manual evidence run, and schedules recurring collection and due-date reporting.","preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
ai-visibility.html,"© 2026 Olsen Automation LLC. Practical AI systems, automation, and production workflows. ·","preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
arc-forge.html,Olsen Automation,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
arc-forge.html,Olsen Automation,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
arc-forge.html,© 2026 Olsen Automation LLC.,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
cassette-mp4.html,Cassette.mp4 | Olsen Automation LLC,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
cassette-mp4.html,Olsen Automation,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
cassette-mp4.html,© Brian Olsen / Olsen Automation LLC,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
contact.html,Contact | Olsen Automation LLC,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
contact.html,Olsen Automation,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
contact.html,"For product image production, AI-assisted workflow questions, or Olsen Automation inquiries, use the contact details below.","preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
contact.html,Brian Olsen,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
contact.html,© Brian Olsen / Olsen Automation LLC,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
docs.html,Docs | Olsen Automation LLC,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
docs.html,Olsen Automation,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
docs.html,Can I verify this cassette came from Olsen Automation?,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
docs.html,© Brian Olsen / Olsen Automation LLC,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
family-card-chaos-access.html,Olsen Automation,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
family-card-chaos-access.html,© 2026 Olsen Automation LLC · Family Card Chaos,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
firefly-living-lights.html,Living Lights / Firefly System | Olsen Automation,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
firefly-living-lights.html,Olsen Automation,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
firefly-living-lights.html,"A close-up field test used to judge brightness, spacing, visible wiring, and whether several independent nodes read as living points of light rather than a decorative string.","preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
firefly-living-lights.html,Independent behavior,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
firefly-living-lights.html,The current system uses ESP32 development boards as control pods. Each production pod currently drives eight independent firefly outputs through GPIO and ULN2803A driver hardware. Pod 1 acts as the Habitat Host. Pod 2 is the proven guarded one-pod satellite OTA target. Pod 3 remains an intentionally protected control pod.,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
firefly-living-lights.html,"GPIO / ULN, eight independent outputs per pod, standard F1–F8 to 1C–8C mapping.","preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
firefly-living-lights.html,"Multiple pods can form one larger habitat while preserving local pod identity, independent outputs, and controlled firmware deployment boundaries.","preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
firefly-living-lights.html,Independent state and decision timing per firefly.,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
firefly-living-lights.html,Move beyond loose breadboard wiring while preserving independent control and replaceable branch hardware.,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
firefly-living-lights.html,"Validated the central product premise: independent lights could create irregular, watchable behavior without an obvious loop.","preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
firefly-living-lights.html,Keeping behavior independent as the habitat grows from eight-output pods toward larger multi-pod and future addressable systems.,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
firefly-living-lights.html,"Compile and run firmware, switch eight independent outputs, validate driver hardware, and establish a repeatable branch.","preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
firefly-living-lights.html,"An early low-light observation used to judge placement, scale, viewing distance, environmental distraction, and whether the light points feel independent.","preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
firefly-living-lights.html,Prototype disclosure,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
firefly-living-lights.html,Brian Olsen,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
firefly-living-lights.html,Back to Olsen Automation,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
firefly-living-lights.html,© 2026 Olsen Automation LLC. Living Lights / Firefly System project record.,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
index.html,Olsen Automation LLC,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
index.html,Olsen Automation,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
index.html,Olsen Automation LLC,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
index.html,"Outdoor low-voltage lighting designed to imitate living fireflies through independent behavior, modular ESP32 control pods, and organic timing without obvious loops or synchronized flashing.","preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
index.html,"Quick-start guidance, public verification details, support notes, and safe-surface documentation for projects released through Olsen Automation.","preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
index.html,"© 2026 Olsen Automation LLC. Practical AI systems, automation, and production workflows.","preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
product-photo-production.html,AI-Assisted Product Image Production & Retouching | Brian Olsen,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
product-photo-production.html,Brian Olsen,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
product-photo-production.html,Disclosure:,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
product-photo-production.html,"Spec concept only. Not affiliated with Oura. Brand-inspired elements are shown only to demonstrate product-fidelity workflow, art direction, and premium wearable-tech presentation.","preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
product-photo-production.html,"Distracting backgrounds, mixed lighting, phone perspective, clutter, and non-commercial composition.","preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
product-photo-production.html,General disclosure:,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
product-photo-production.html,"Some examples are speculative proof-of-concept exercises using personally captured source photos. Brand names/logos are shown only to demonstrate product-fidelity workflows and are not presented as official brand work unless explicitly noted. Final client delivery would include manual review for label accuracy, trademark compliance, small text fidelity, and production readiness.","preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
product-photo-production.html,Brian Olsen,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
product-photo-production.html,© Brian Olsen — Product Image Production Portfolio,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
support.html,Support | Olsen Automation LLC,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
support.html,Olsen Automation,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
support.html,© Brian Olsen / Olsen Automation LLC,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
territory-sales-execution.html,Territory Sales & Retail Execution | Brian Olsen,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
territory-sales-execution.html,OLSEN AUTOMATION,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
territory-sales-execution.html,Independent field ownership paired with practical account-level execution.,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
territory-sales-execution.html,Portfolio disclosure:,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
territory-sales-execution.html,"This is an independent employment work-sample page. The photographs document field execution completed during Brian Olsen’s prior distributor work. Brand names, trade dress, store identities, and marks belong to their respective owners. These examples demonstrate category and retail-execution capability and are not presented as work performed for Sazerac Company. No confidential sales data is presented.","preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
verify.html,Verify | Olsen Automation LLC,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
verify.html,Olsen Automation,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
verify.html,Use this public key to verify signed cassette releases and manifests from Olsen Automation.,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
verify.html,Olsen Automation Public Key,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
verify.html,© Brian Olsen / Olsen Automation LLC,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
visual-ai-evaluation.html,Visual AI Evaluation | Brian Olsen,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
visual-ai-evaluation.html,OLSEN AUTOMATION,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
visual-ai-evaluation.html,Independent work sample • Visual AI evaluation,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
visual-ai-evaluation.html,Independent,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
visual-ai-evaluation.html,These independent proof-of-concept studies use recognizable products to demonstrate analysis and correction skill. They are not official brand work or paid commissions.,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
visual-ai-evaluation.html,Disclosure,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
visual-ai-evaluation.html,"This is an independent, non-commercial spec demonstration and is not an official ŌURA asset.","preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
visual-ai-evaluation.html,Portfolio disclosure:,"preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
visual-ai-evaluation.html,"Spec examples are independent demonstrations. Brand names and marks remain the property of their respective owners and are shown only to document reference-based analysis, visual evaluation, and correction methodology.","preserve exact attribution/disclosure; existing text is source evidence, not independent fact verification"
