path,title,visibility,robots,status_class,evidence,attribution,phone_correction_required,action,sha256
404.html,Page Not Found | Olsen Automation LLC,public,,not a project,Service/navigation page; no project status inferred,Brian Olsen / Olsen Automation; preserve all existing third-party disclosures,True,retain; migrate only after checkpoint,de2b9c0ceffadd1991ec9d5066446265e2d771465d632bb6d4ef8fbdb3da4946
ai-visibility.html,AI Visibility Monitoring & Improvement | Olsen Automation,public,,working local applications,Owner-reported service/workflow; intake implementation present; service outcomes not independently verified,Brian Olsen / Olsen Automation; preserve all existing third-party disclosures,False,retain; migrate only after checkpoint,b76e84a0e9d2e4903bd53894915891dbf13f5ebe2586225a5602372cfd2ad522
arc-forge.html,ARC//FORGE — Build the Machine. Discover the System.,public,,active prototypes,Public narrative and machine-study images; no release evidence in this repository,Brian Olsen / Olsen Automation; preserve all existing third-party disclosures,False,retain; migrate only after checkpoint,b639bf6a1201309e554db4e246eab9f36880f335b897cd2db5836c1c36ee94b1
cassette-mp4.html,Cassette.mp4 | Olsen Automation LLC,public,,architecture/research,Concept and roadmap; no downloadable release or extraction proof in this repository,Brian Olsen / Olsen Automation; preserve all existing third-party disclosures,True,retain; migrate only after checkpoint,00990601b7b1335e6aa0e47d694a6bd045c0e7be6ecd63cf01530e1e0d71514f
contact.html,Contact | Olsen Automation LLC,public,,not a project,Service/navigation page; no project status inferred,Brian Olsen / Olsen Automation; preserve all existing third-party disclosures,True,retain; migrate only after checkpoint,df17863009b1642fedcc9ecc8eae282fb44fdd29c1aefbd327a2db9fc4542dba
docs.html,Docs | Olsen Automation LLC,public,,architecture/research,Concept usage instructions; missing release artifacts must not be implied as available,Brian Olsen / Olsen Automation; preserve all existing third-party disclosures,True,retain; migrate only after checkpoint,d8677f11d207c740682534ae1bcc1beb660991bb05307e85e965dd797984e1ee
family-card-chaos-access.html,Family Card Chaos — Family Access Guide,unlisted/noindex,"noindex, nofollow, noarchive, nosnippet",private implementations,Existing noindex access guide; game is externally access-controlled; never include in public preview,Brian Olsen / Olsen Automation; preserve all existing third-party disclosures,False,retain; migrate only after checkpoint,45bb792332b963d3ee118ada619b4399785aaf6ff9f13661f4e37b6117657c46
firefly-living-lights.html,Living Lights / Firefly System | Olsen Automation,public,,active prototypes,Owner-reported physical testing and public photos; inspect exact test evidence before upgrading claims,Brian Olsen / Olsen Automation; preserve all existing third-party disclosures,True,retain; migrate only after checkpoint,f699474f8f5e9f8006ee5eaf520df5031920093a4fa6327b91077cb37f6293ee
index.html,Olsen Automation LLC,public,,not a project,Service/navigation page; no project status inferred,Brian Olsen / Olsen Automation; preserve all existing third-party disclosures,True,retain; migrate only after checkpoint,243db2bc3de731e9c26c8c1c0ac761dfcf59af59bb1c42a96c43f7bfb3bbbb6a
product-photo-production.html,AI-Assisted Product Image Production & Retouching | Brian Olsen,unlisted/noindex,"noindex,nofollow",workshop pilots,"Unlisted portfolio/spec demonstrations; preserve brand attribution, not released product claims",Brian Olsen / Olsen Automation; preserve all existing third-party disclosures,True,retain; migrate only after checkpoint,2deed876079d3d94f44d9fb90e1920dd6566bd9edc088b2d94d426aedfaafa37
support.html,Support | Olsen Automation LLC,public,,not a project,Service/navigation page; no project status inferred,Brian Olsen / Olsen Automation; preserve all existing third-party disclosures,True,retain; migrate only after checkpoint,0f61be1eb2dbd85fea34f4229957c56406d7fdf6d3450941f3be980c35358526
territory-sales-execution.html,Territory Sales &amp; Retail Execution | Brian Olsen,unlisted/noindex,"noindex,nofollow,noarchive",not a project,"Historical professional retail execution evidence; taxonomy applies to projects, not employment; preserve professional-work description",Brian Olsen / Olsen Automation; preserve all existing third-party disclosures,True,retain; migrate only after checkpoint,5ef8b8672efe201eebaef57d7f249acf112fc00103a98b5d941efd3e915a7d01
verify.html,Verify | Olsen Automation LLC,public,,architecture/research,Verification instructions; inspect key and sample availability before making verification claims,Brian Olsen / Olsen Automation; preserve all existing third-party disclosures,True,retain; migrate only after checkpoint,b2107b9b1ced37aa0ce460427fe5ea3b86da69bd5640264a72cefbc378a83b70
visual-ai-evaluation.html,Visual AI Evaluation | Brian Olsen,unlisted/noindex,"noindex,nofollow,noarchive",workshop pilots,Unlisted independent spec demonstrations; brand marks owned by their respective owners,Brian Olsen / Olsen Automation; preserve all existing third-party disclosures,True,retain; migrate only after checkpoint,2d5f237e9ec99b24aa3b8675c9c1061e46f1d88a95de58db780739f605ebacd2
