title,route,status,evidence,source
Context Passport Compiler,/projects/context-passport-compiler.html,private implementations,Owner-reported. No independent release or device-test evidence is presented here.,"Approved V6 pilot, project atlas"
StateSeal,/projects/stateseal.html,private implementations,Owner-reported. No independent release or device-test evidence is presented here.,"Approved V6 pilot, project atlas"
Scribr,/projects/scribr.html,working local applications,Owner-reported. No independent release or device-test evidence is presented here.,"Approved V6 pilot, project atlas"
Artifact OS,/projects/artifact-os.html,architecture/research,Owner-reported. No independent release or device-test evidence is presented here.,"Approved V6 pilot, project atlas"
Cassette.mp4,/cassette-mp4.html,architecture/research,Existing public project record; specific outcomes remain bounded by the evidence and limitations on that page.,"Approved V6 pilot, project atlas"
AI Visibility,/ai-visibility.html,working local applications,Existing public project record; specific outcomes remain bounded by the evidence and limitations on that page.,"Approved V6 pilot, project atlas"
ARC//FORGE,/arc-forge.html,active prototypes,Existing public project record; specific outcomes remain bounded by the evidence and limitations on that page.,"Approved V6 pilot, project atlas"
Glimmerlings,/projects/glimmerlings.html,active prototypes,Owner-reported. No independent release or device-test evidence is presented here.,"Approved V6 pilot, project atlas"
Wing & Light,/projects/wing-light.html,device-tested pilots,Owner-reported. No independent release or device-test evidence is presented here.,"Approved V6 pilot, project atlas"
Family Card Chaos,/projects/family-card-chaos.html,private implementations,Owner-reported. No independent release or device-test evidence is presented here.,"Approved V6 pilot, project atlas"
Sauce+ Private Roku,/projects/sauce-private-roku.html,private implementations,Owner-reported. No independent release or device-test evidence is presented here.,"Approved V6 pilot, project atlas"
Olsen Music Studio,/projects/olsen-music-studio.html,working local applications,Owner-reported. No independent release or device-test evidence is presented here.,"Approved V6 pilot, project atlas"
Living Lights,/firefly-living-lights.html,active prototypes,Existing public project record; specific outcomes remain bounded by the evidence and limitations on that page.,"Approved V6 pilot, project atlas"
Mechanical Whale,/projects/mechanical-whale.html,active prototypes,"Active physical prototype. September 16, 2026 photos and a close-up recording document the assembled v0.5 build. Brian reports that wave-spacing and shaft-alignment adjustments restored movement, with small amounts of glue used on loose fixed ribs and the end clip. Repeatable kit assembly and durability are still being evaluated.","Owner source-history and media review, September 17, 2026"
Easter Tomb,/projects/easter-tomb.html,active prototypes,Owner-reported. No independent release or device-test evidence is presented here.,"Approved V6 pilot, project atlas"
Sandy Miniatures,/projects/sandy-miniatures.html,active prototypes,Owner-reported. No independent release or device-test evidence is presented here.,"Approved V6 pilot, project atlas"
Cedar Bracket-Cover Planters,/projects/cedar-bracket-cover-planters.html,released work,Owner-reported. No independent release or device-test evidence is presented here.,"Approved V6 pilot, project atlas"
Functional Print & Fit,/projects/functional-print-fit.html,historical experiments,Owner-reported. No independent release or device-test evidence is presented here.,"Approved V6 pilot, project atlas"
Visual AI Evaluation,/projects/visual-ai-evaluation.html,workshop pilots,Owner-reported professional or demonstration work. Detailed application materials are shared separately.,"Approved V6 pilot, project atlas"
Product Image Production,/projects/product-image-production.html,workshop pilots,Owner-reported professional or demonstration work. Detailed application materials are shared separately.,"Approved V6 pilot, project atlas"
Territory Sales Execution,/projects/territory-sales-execution.html,historical professional work,Owner-reported professional or demonstration work. Detailed application materials are shared separately.,"Approved V6 pilot, project atlas"
Photography & Visual Production,/projects/photography-visual-production.html,professional practice,Owner-reported. No independent release or device-test evidence is presented here.,"Approved V6 pilot, project atlas"
ClearFloor,/projects/clearfloor.html,architecture/research,Owner-reported. No independent release or device-test evidence is presented here.,"Approved V6 pilot, project atlas"
BatchQuote,/projects/batchquote.html,active prototypes,Owner-reported. No independent release or device-test evidence is presented here.,"Approved V6 pilot, project atlas"
Role-Specific Application Portfolios,/projects/role-specific-application-portfolios.html,working local applications,Owner-reported professional or demonstration work. Detailed application materials are shared separately.,"Approved V6 pilot, project atlas"
AI Without the Hype,/workshop.html,workshop pilots,"Approved workshop pilot and curriculum outline; date, price and attendance are not confirmed.","Approved V6 pilot, project atlas"
